,0,1,2,3
202009060709,ワイド,9 - 14br4 - 9br4 - 14,290br840br670,1br9br4
202009060709,馬単,9 → 14,710,1
202009060709,三連複,4 - 9 - 14,2330,4
202009060709,三連単,9 → 14 → 4,6620,8
202104010109,単勝,11,2290,10
202104010109,複勝,11br1br14,610br580br500,10br9br7
202104010109,枠連,1 - 6,4610,20
202104010109,馬連,1 - 11,17840,58
202104010109,ワイド,1 - 11br11 - 14br1 - 14,"4,810br3,100br3,610",57br40br48
202104010109,馬単,11 → 1,38770,121
202104010109,三連複,1 - 11 - 14,69830,191
202104010109,三連単,11 → 1 → 14,556530,1297
202008010405,単勝,8,440,3
202008010405,複勝,8br4br14,150br120br140,3br1br2
202008010405,枠連,2 - 4,990,5
202008010405,馬連,4 - 8,890,2
202008010405,ワイド,4 - 8br8 - 14br4 - 14,370br390br270,3br4br1
202008010405,馬単,8 → 4,1820,5
